name,id,nametype,recclass
Aachen,1,Valid,L5
Aarhus,2,Valid,H6
Abee,6,Valid,EH4
Acapulco,10,Valid,Acapulcoite
Achiras,370,Valid,L6
Adhi Kot,379,Valid,EH4
Adzhi-Bogdo (stone),390,Valid,LL3-6
Agen,392,Valid,H5
Aguada,398,Valid,L6
Aguila Blanca,417,Valid,L
Aioun el Atrouss,423,Valid,Diogenite-pm
Aïr,424,Valid,L6
Aire-sur-la-Lys,425,Valid,Unknown
Akaba,426,Valid,L6
Akbarpur,427,Valid,H4
Akwanga,432,Valid,H
Akyumak,433,Valid,"Iron, IVA"
Al Rais,446,Valid,CR2-an
Al Zarnkh,447,Valid,LL5
Alais,448,Valid,CI1
Albareto,453,Valid,L/LL4
Alberta,454,Valid,L
Alby sur Chéran,458,Valid,Eucrite-mmict
Aldsworth,461,Valid,LL5
Aleppo,462,Valid,L6
Alessandria,463,Valid,H5
Alexandrovsky,465,Valid,H4
Alfianello,466,Valid,L6
Allegan,2276,Valid,H5
Allende,2278,Valid,CV3
Almahata Sitta,48915,Valid,Ureilite-an
Alta'ameem,2284,Valid,LL5
Ambapur Nagla,2290,Valid,H5
Andhara,2294,Valid,Stone-uncl
Andover,2295,Valid,L6
Andreevka,2296,Valid,L3
Andura,2298,Valid,H6
Northwest Africa 5815,50693,Valid,L5
Angers,2301,Valid,L6
Angra dos Reis (stone),2302,Valid,Angrite
Ankober,2304,Valid,H4
Anlong,2305,Valid,H5
Aomori,2313,Valid,L6
Appley Bridge,2318,Valid,LL6
Apt,2320,Valid,L6
Arbol Solo,2325,Valid,H5
Archie,2329,Valid,H6
Arroyo Aguiar,2340,Valid,H5
Asco,2345,Valid,H6
Ash Creek,48954,Valid,L6
Ashdon,2346,Valid,L6
Assisi,2353,Valid,H5
Atarra,4883,Valid,L4
Atemajac,4884,Valid,L6
Athens,4885,Valid,LL6
Atoka,4888,Valid,L6
Aubres,4893,Valid,Aubrite
Aumale,4899,Valid,L6
Aumieres,4900,Valid,L6
Ausson,4903,Valid,L5
Avanhandava,4905,Valid,H4
Avce,4906,Valid,"Iron, IIAB"
Avilez,4907,Valid,H
Awere,4910,Valid,L4
Aztec,4913,Valid,L6
Bachmut,4917,Valid,L6
Bahjoi,4922,Valid,"Iron, IAB-sLL"
Bald Mountain,4925,Valid,L4
Baldwyn,4926,Valid,L6
Bali,4928,Valid,CV3
Ban Rong Du,4934,Valid,"Iron, ungrouped"
Bandong,4935,Valid,LL6
Bansur,4936,Valid,L6
Banswal,4937,Valid,L5
Banten,4938,Valid,CM2
Barbotan,4942,Valid,H5
Barcelona (stone),4944,Valid,OC
Barea,4946,Valid,Mesosiderite-A1
Barnaul,4947,Valid,H5
Barntrup,4948,Valid,LL4
Baroti,4949,Valid,L6
Barwell,4954,Valid,L5
Bassikounou,44876,Valid,H5
Baszkówka,4957,Valid,L5
Bath,4974,Valid,H4
Bath Furnace,4975,Valid,L6
Battle Mountain,56133,Valid,L6
Bawku,4976,Valid,LL5
Baxter,4977,Valid,L6
Beardsley,4984,Valid,H5
Beaver Creek,4986,Valid,H5
Beddgelert,4993,Valid,H5
Bells,5005,Valid,C2-ung
Belville,5009,Valid,OC
Benares (a),5011,Valid,LL4
Benguerir,30443,Valid,LL6
Beni M'hira,5018,Valid,L6
